"year","ISO","total_best","conflict_flag"
2015,"AUS",0,0
2016,"AUS",0,0
2017,"AUS",0,0
2018,"AUS",0,0
2019,"AUS",2,0
2000,"AUT",0,0
2001,"AUT",0,0
2002,"AUT",0,0
2003,"AUT",0,0
2004,"AUT",0,0
2005,"AUT",0,0
2006,"AUT",0,0
2007,"AUT",0,0
2008,"AUT",0,0
2009,"AUT",0,0
2010,"AUT",0,0
2011,"AUT",0,0
2012,"AUT",0,0
2013,"AUT",0,0
2014,"AUT",0,0
2015,"AUT",0,0
2016,"AUT",0,0
2017,"AUT",0,0
2018,"AUT",0,0
2019,"AUT",0,0
2000,"AZE",18,0
2001,"AZE",13,0
2002,"AZE",6,0
2003,"AZE",0,0
2004,"AZE",0,0
2005,"AZE",8,0
2006,"AZE",24,0
2007,"AZE",5,0
2008,"AZE",12,0
2009,"AZE",30,1
2010,"AZE",7,0
2011,"AZE",20,0
2012,"AZE",21,0
2013,"AZE",16,0
2014,"AZE",11,0
2015,"AZE",46,1
2016,"AZE",63,1
2017,"AZE",137,1
2018,"AZE",36,1
2019,"AZE",16,0
2000,"BDI",1009,1
2001,"BDI",2071,1
2002,"BDI",1253,1
2003,"BDI",1576,1
2004,"BDI",1245,1
2005,"BDI",679,1
2006,"BDI",378,1
2007,"BDI",185,1
2008,"BDI",79,1
2009,"BDI",220,1
2010,"BDI",0,0
2011,"BDI",0,0
2012,"BDI",1,0
2013,"BDI",9,0
2014,"BDI",9,0
2015,"BDI",70,1
2016,"BDI",260,1
2017,"BDI",81,1
2018,"BDI",43,1
2019,"BDI",113,1
2000,"BEL",0,0
2001,"BEL",0,0
2002,"BEL",0,0
2003,"BEL",0,0
2004,"BEL",0,0
2005,"BEL",0,0
2006,"BEL",0,0
2007,"BEL",0,0
2008,"BEL",0,0
2009,"BEL",0,0
2010,"BEL",0,0
2011,"BEL",0,0
2012,"BEL",0,0
2013,"BEL",0,0
2014,"BEL",0,0
2015,"BEL",0,0
2016,"BEL",0,0
2017,"BEL",34,1
2018,"BEL",0,0
2019,"BEL",4,0
2000,"BEN",0,0
2001,"BEN",0,0
2002,"BEN",0,0
2003,"BEN",0,0
2004,"BEN",0,0
2005,"BEN",0,0
2006,"BEN",0,0
2007,"BEN",0,0
2008,"BEN",0,0
2009,"BEN",0,0
2010,"BEN",0,0
2011,"BEN",0,0
2012,"BEN",0,0
2013,"BEN",0,0
2014,"BEN",0,0
2015,"BEN",0,0
2016,"BEN",0,0
2017,"BEN",0,0
2018,"BEN",0,0
2019,"BEN",0,0
2000,"BFA",0,0
2001,"BFA",0,0
2002,"BFA",0,0
2003,"BFA",0,0
2004,"BFA",0,0
2005,"BFA",0,0
2006,"BFA",0,0
2007,"BFA",0,0
2008,"BFA",0,0
2009,"BFA",0,0
2010,"BFA",0,0
2011,"BFA",0,0
2012,"BFA",0,0
2013,"BFA",0,0
2014,"BFA",0,0
2015,"BFA",0,0
2016,"BFA",0,0
2017,"BFA",26,1
2018,"BFA",54,1
2019,"BFA",195,1
2000,"BGD",14,0
2001,"BGD",105,1
2002,"BGD",62,1
2003,"BGD",6,0
2004,"BGD",8,0
2005,"BGD",51,1
2006,"BGD",80,1
2007,"BGD",96,1
2008,"BGD",18,0
2009,"BGD",13,0
2010,"BGD",10,0
2011,"BGD",5,0
2012,"BGD",0,0
2013,"BGD",2,0
2014,"BGD",54,1
2015,"BGD",2,0
2016,"BGD",10,0
2017,"BGD",73,1
2018,"BGD",48,1
2019,"BGD",28,1
2000,"BGR",0,0
2001,"BGR",0,0
2002,"BGR",0,0
2003,"BGR",0,0
2004,"BGR",0,0
2005,"BGR",0,0
2006,"BGR",0,0
2007,"BGR",0,0
2008,"BGR",0,0
2009,"BGR",0,0
2010,"BGR",0,0
2011,"BGR",0,0
2012,"BGR",0,0
2013,"BGR",0,0
2014,"BGR",0,0
2015,"BGR",0,0
2016,"BGR",0,0
2017,"BGR",0,0
2018,"BGR",0,0
2019,"BGR",0,0
2000,"BHR",0,0
2001,"BHR",0,0
2002,"BHR",0,0
2003,"BHR",0,0
2004,"BHR",0,0
2005,"BHR",0,0
2006,"BHR",0,0
2007,"BHR",0,0
2008,"BHR",0,0
2009,"BHR",0,0
2010,"BHR",0,0
2011,"BHR",0,0
2012,"BHR",26,1
2013,"BHR",0,0
2014,"BHR",0,0
2015,"BHR",0,0
2016,"BHR",0,0
2017,"BHR",0,0
2018,"BHR",0,0
2019,"BHR",0,0
2000,"BHS",0,0
2001,"BHS",0,0
2002,"BHS",0,0
2003,"BHS",0,0
2004,"BHS",0,0
2005,"BHS",0,0
2006,"BHS",0,0
2007,"BHS",0,0
2008,"BHS",0,0
2009,"BHS",0,0
2010,"BHS",0,0
2011,"BHS",0,0
2012,"BHS",0,0
2013,"BHS",0,0
2014,"BHS",0,0
2015,"BHS",0,0
2016,"BHS",0,0
2017,"BHS",0,0
2018,"BHS",0,0
2019,"BHS",0,0
2000,"BIH",0,0
2001,"BIH",0,0
2002,"BIH",0,0
2003,"BIH",0,0
2004,"BIH",0,0
2005,"BIH",0,0
2006,"BIH",0,0
2007,"BIH",0,0
2008,"BIH",0,0
2009,"BIH",0,0
2010,"BIH",0,0
2011,"BIH",0,0
2012,"BIH",0,0
2013,"BIH",0,0
2014,"BIH",0,0
2015,"BIH",0,0
2016,"BIH",0,0
2017,"BIH",0,0
2018,"BIH",0,0
2019,"BIH",0,0
2000,"BLR",0,0
2001,"BLR",0,0
2002,"BLR",0,0
2003,"BLR",0,0
2004,"BLR",0,0
2005,"BLR",0,0
2006,"BLR",0,0
2007,"BLR",0,0
2008,"BLR",0,0
2009,"BLR",0,0
2010,"BLR",0,0
2011,"BLR",0,0
2012,"BLR",0,0
2013,"BLR",0,0
2014,"BLR",0,0
2015,"BLR",0,0
2016,"BLR",0,0
2017,"BLR",0,0
2018,"BLR",0,0
2019,"BLR",0,0
2000,"BLZ",0,0
2001,"BLZ",0,0
2002,"BLZ",0,0
2003,"BLZ",0,0
2004,"BLZ",0,0
2005,"BLZ",0,0
2006,"BLZ",0,0
2007,"BLZ",0,0
2008,"BLZ",0,0
2009,"BLZ",0,0
2010,"BLZ",0,0
2011,"BLZ",0,0
2012,"BLZ",0,0
2013,"BLZ",0,0
2014,"BLZ",0,0
2015,"BLZ",0,0
2016,"BLZ",0,0
2017,"BLZ",0,0
2018,"BLZ",0,0
2019,"BLZ",0,0
2000,"BOL",0,0
2001,"BOL",50,1
2002,"BOL",0,0
2003,"BOL",0,0
2004,"BOL",0,0
2005,"BOL",0,0
2006,"BOL",0,0
2007,"BOL",0,0
2008,"BOL",0,0
2009,"BOL",0,0
2010,"BOL",0,0
2011,"BOL",0,0
2012,"BOL",0,0
2013,"BOL",0,0
2014,"BOL",0,0
2015,"BOL",0,0
2016,"BOL",0,0
2017,"BOL",0,0
2018,"BOL",0,0
2019,"BOL",0,0
2000,"BRA",62,1
2001,"BRA",46,1
2002,"BRA",74,1
2003,"BRA",61,1
2004,"BRA",43,1
2005,"BRA",86,1
2006,"BRA",54,1
2007,"BRA",22,0
2008,"BRA",40,1
2009,"BRA",20,0
2010,"BRA",40,1
2011,"BRA",4,0
2012,"BRA",34,1
2013,"BRA",270,1
2014,"BRA",4,0
2015,"BRA",1,0
2016,"BRA",18,0
2017,"BRA",34,1
2018,"BRA",2803,1
2019,"BRA",2380,1
2000,"BRB",0,0
2001,"BRB",0,0
2002,"BRB",0,0
2003,"BRB",0,0
2004,"BRB",0,0
2005,"BRB",0,0
2006,"BRB",0,0
2007,"BRB",0,0
2008,"BRB",0,0
2009,"BRB",0,0
2010,"BRB",0,0
2011,"BRB",0,0
2012,"BRB",0,0
2013,"BRB",0,0
2014,"BRB",0,0
2015,"BRB",0,0
2016,"BRB",0,0
2017,"BRB",0,0
2018,"BRB",0,0
2019,"BRB",0,0
2000,"BRN",0,0
2001,"BRN",0,0
2002,"BRN",0,0
2003,"BRN",0,0
2004,"BRN",0,0
2005,"BRN",0,0
2006,"BRN",0,0
2007,"BRN",0,0
2008,"BRN",0,0
2009,"BRN",0,0
2010,"BRN",0,0
2011,"BRN",0,0
2012,"BRN",0,0
2013,"BRN",0,0
2014,"BRN",0,0
2015,"BRN",0,0
2016,"BRN",0,0
2017,"BRN",0,0
2018,"BRN",0,0
2019,"BRN",0,0
2000,"BTN",0,0
2001,"BTN",0,0
2002,"BTN",0,0
2003,"BTN",0,0
2004,"BTN",0,0
2005,"BTN",0,0
2006,"BTN",0,0
2007,"BTN",0,0
2008,"BTN",0,0
2009,"BTN",0,0
2010,"BTN",0,0
2011,"BTN",0,0
2012,"BTN",0,0
2013,"BTN",0,0
2014,"BTN",0,0
2015,"BTN",0,0
2016,"BTN",0,0
2017,"BTN",0,0
2018,"BTN",0,0
2019,"BTN",0,0
2000,"BWA",0,0
2001,"BWA",0,0
2002,"BWA",0,0
2003,"BWA",0,0
2004,"BWA",0,0
2005,"BWA",0,0
2006,"BWA",0,0
2007,"BWA",0,0
2008,"BWA",0,0
2009,"BWA",0,0
2010,"BWA",0,0
2011,"BWA",0,0
2012,"BWA",0,0
2013,"BWA",0,0
2014,"BWA",0,0
2015,"BWA",0,0
2016,"BWA",0,0
2017,"BWA",0,0
2018,"BWA",0,0
2019,"BWA",0,0
2000,"CAF",5,0
2001,"CAF",6,0
2002,"CAF",216,1
2003,"CAF",152,1
2004,"CAF",19,0
2005,"CAF",23,0
2006,"CAF",8,0
2007,"CAF",190,1
2008,"CAF",143,1
2009,"CAF",8,0
2010,"CAF",244,1
2011,"CAF",148,1
2012,"CAF",195,1
2013,"CAF",132,1
2014,"CAF",3396,1
2015,"CAF",3494,1
2016,"CAF",743,1
2017,"CAF",688,1
2018,"CAF",1849,1
2019,"CAF",640,1
2000,"CAN",11,0
2001,"CAN",23,0
2002,"CAN",1,0
2003,"CAN",0,0
2004,"CAN",0,0
2005,"CAN",0,0
2006,"CAN",0,0
2007,"CAN",0,0
2008,"CAN",0,0
2009,"CAN",0,0
2010,"CAN",0,0
2011,"CAN",0,0
2012,"CAN",0,0
2013,"CAN",0,0
2014,"CAN",0,0
2015,"CAN",0,0
2016,"CAN",0,0
2017,"CAN",0,0
2018,"CAN",0,0
2019,"CAN",0,0
2000,"CHE",0,0
2001,"CHE",0,0
2002,"CHE",0,0
2003,"CHE",0,0
2004,"CHE",0,0
2005,"CHE",0,0
2006,"CHE",0,0
2007,"CHE",0,0
2008,"CHE",0,0
2009,"CHE",0,0
2010,"CHE",0,0
2011,"CHE",0,0
2012,"CHE",0,0
2013,"CHE",0,0
2014,"CHE",0,0
2015,"CHE",0,0
2016,"CHE",0,0
2017,"CHE",0,0
2018,"CHE",0,0
2019,"CHE",0,0
2000,"CHL",0,0
2001,"CHL",0,0
2002,"CHL",0,0
2003,"CHL",0,0
2004,"CHL",0,0
2005,"CHL",0,0
2006,"CHL",0,0
2007,"CHL",0,0
2008,"CHL",0,0
2009,"CHL",0,0
2010,"CHL",0,0
2011,"CHL",0,0
2012,"CHL",0,0
2013,"CHL",0,0
2014,"CHL",0,0
2015,"CHL",0,0
2016,"CHL",0,0
2017,"CHL",0,0
2018,"CHL",0,0
2019,"CHL",0,0
2000,"CHN",0,0
2001,"CHN",0,0
2002,"CHN",0,0
2003,"CHN",0,0
2004,"CHN",0,0
2005,"CHN",0,0
2006,"CHN",12,0
2007,"CHN",0,0
2008,"CHN",0,0
2009,"CHN",87,1
2010,"CHN",189,1
2011,"CHN",0,0
2012,"CHN",0,0
2013,"CHN",0,0
2014,"CHN",0,0
2015,"CHN",0,0
2016,"CHN",5,0
2017,"CHN",0,0
2018,"CHN",6,0
2019,"CHN",0,0
2000,"CIV",0,0
2001,"CIV",132,1
2002,"CIV",2,0
2003,"CIV",1028,1
2004,"CIV",492,1
2005,"CIV",304,1
2006,"CIV",153,1
2007,"CIV",11,0
2008,"CIV",3,0
2009,"CIV",4,0
2010,"CIV",1,0
2011,"CIV",80,1
2012,"CIV",1256,1
2013,"CIV",21,0
2014,"CIV",4,0
2015,"CIV",0,0
2016,"CIV",0,0
2017,"CIV",49,1
2018,"CIV",0,0
2019,"CIV",0,0
2000,"CMR",0,0
2001,"CMR",2,0
2002,"CMR",0,0
2003,"CMR",0,0
2004,"CMR",0,0
2005,"CMR",0,0
2006,"CMR",0,0
2007,"CMR",0,0
2008,"CMR",0,0
2009,"CMR",0,0
2010,"CMR",0,0
2011,"CMR",0,0
2012,"CMR",0,0
2013,"CMR",0,0
2014,"CMR",1,0
2015,"CMR",1047,1
2016,"CMR",1263,1
2017,"CMR",491,1
2018,"CMR",410,1
2019,"CMR",1007,1
2000,"COD",7541,1
2001,"COD",3052,1
2002,"COD",1391,1
2003,"COD",7931,1
2004,"COD",4328,1
2005,"COD",795,1
2006,"COD",314,1
2007,"COD",390,1
2008,"COD",879,1
2009,"COD",1740,1
2010,"COD",5069,1
2011,"COD",799,1
2012,"COD",511,1
2013,"COD",1842,1
2014,"COD",2196,1
2015,"COD",1622,1
2016,"COD",737,1
2017,"COD",2194,1
2018,"COD",6031,1
2019,"COD",3130,1
2000,"COG",948,1
2001,"COG",0,0
2002,"COG",3,0
2003,"COG",234,1
2004,"COG",33,1
2005,"COG",0,0
2006,"COG",15,0
2007,"COG",0,0
2008,"COG",2,0
2009,"COG",1,0
2010,"COG",0,0
2011,"COG",0,0
2012,"COG",1,0
2013,"COG",2,0
2014,"COG",0,0
2015,"COG",0,0
2016,"COG",0,0
2017,"COG",73,1
2018,"COG",20,0
2019,"COG",0,0
2000,"COL",2093,1
2001,"COL",4293,1
2002,"COL",4592,1
2003,"COL",4346,1
2004,"COL",1183,1
2005,"COL",1781,1
2006,"COL",1725,1
2007,"COL",588,1
2008,"COL",362,1
2009,"COL",252,1
2010,"COL",419,1
2011,"COL",442,1
2012,"COL",227,1
2013,"COL",227,1
2014,"COL",140,1
2015,"COL",156,1
2016,"COL",143,1
2017,"COL",38,1
2018,"COL",87,1
2019,"COL",245,1
2000,"COM",0,0
2001,"COM",0,0
2002,"COM",0,0
2003,"COM",0,0
2004,"COM",0,0
2005,"COM",0,0
2006,"COM",0,0
2007,"COM",0,0
2008,"COM",0,0
2009,"COM",0,0
2010,"COM",0,0
2011,"COM",0,0
2012,"COM",0,0
2013,"COM",0,0
2014,"COM",0,0
2015,"COM",0,0
2016,"COM",0,0
2017,"COM",0,0
2018,"COM",0,0
2019,"COM",0,0
2000,"CPV",0,0
2001,"CPV",0,0
2002,"CPV",0,0
2003,"CPV",0,0
2004,"CPV",0,0
2005,"CPV",0,0
2006,"CPV",0,0
2007,"CPV",0,0
2008,"CPV",0,0
2009,"CPV",0,0
2010,"CPV",0,0
2011,"CPV",0,0
2012,"CPV",0,0
2013,"CPV",0,0
2014,"CPV",0,0
2015,"CPV",0,0
2016,"CPV",0,0
2017,"CPV",0,0
2018,"CPV",0,0
2019,"CPV",0,0
2000,"CRI",0,0
2001,"CRI",0,0
2002,"CRI",0,0
2003,"CRI",0,0
2004,"CRI",0,0
2005,"CRI",0,0
2006,"CRI",0,0
2007,"CRI",0,0
2008,"CRI",0,0
2009,"CRI",0,0
2010,"CRI",0,0
2011,"CRI",0,0
2012,"CRI",0,0
2013,"CRI",0,0
2014,"CRI",0,0
2015,"CRI",0,0
2016,"CRI",0,0
2017,"CRI",0,0
2018,"CRI",0,0
2019,"CRI",0,0
2000,"CUB",0,0
2001,"CUB",0,0
2002,"CUB",0,0
2003,"CUB",0,0
2004,"CUB",0,0
2005,"CUB",0,0
2006,"CUB",0,0
2007,"CUB",0,0
2008,"CUB",0,0
2009,"CUB",0,0
2010,"CUB",0,0
2011,"CUB",0,0
2012,"CUB",0,0
2013,"CUB",0,0
2014,"CUB",0,0
2015,"CUB",0,0
2016,"CUB",0,0
2017,"CUB",0,0
2018,"CUB",0,0
2019,"CUB",0,0
2000,"CYP",0,0
2001,"CYP",0,0
2002,"CYP",0,0
2003,"CYP",0,0
2004,"CYP",0,0
2005,"CYP",0,0
2006,"CYP",0,0
2007,"CYP",0,0
2008,"CYP",0,0
2009,"CYP",0,0
2010,"CYP",0,0
2011,"CYP",0,0
2012,"CYP",0,0
2013,"CYP",0,0
2014,"CYP",0,0
2015,"CYP",0,0
2016,"CYP",0,0
2017,"CYP",0,0
2018,"CYP",0,0
2019,"CYP",0,0
2000,"CZE",0,0
2001,"CZE",0,0
2002,"CZE",0,0
2003,"CZE",0,0
2004,"CZE",0,0
2005,"CZE",0,0
2006,"CZE",0,0
2007,"CZE",0,0
2008,"CZE",0,0
2009,"CZE",0,0
2010,"CZE",0,0
2011,"CZE",0,0
2012,"CZE",0,0
2013,"CZE",0,0
2014,"CZE",0,0
2015,"CZE",0,0
2016,"CZE",0,0
2017,"CZE",0,0
2018,"CZE",0,0
2019,"CZE",0,0
2000,"DEU",0,0
2001,"DEU",0,0
2002,"DEU",0,0
2003,"DEU",0,0
2004,"DEU",0,0
2005,"DEU",0,0
2006,"DEU",0,0
2007,"DEU",0,0
2008,"DEU",0,0
2009,"DEU",0,0
2010,"DEU",0,0
2011,"DEU",0,0
2012,"DEU",0,0
2013,"DEU",0,0
2014,"DEU",0,0
2015,"DEU",0,0
2016,"DEU",0,0
2017,"DEU",12,0
2018,"DEU",0,0
2019,"DEU",0,0
2000,"DJI",25,1
2001,"DJI",0,0
2002,"DJI",0,0
2003,"DJI",0,0
2004,"DJI",0,0
2005,"DJI",0,0
2006,"DJI",0,0
2007,"DJI",0,0
2008,"DJI",0,0
2009,"DJI",35,1
2010,"DJI",0,0
2011,"DJI",0,0
2012,"DJI",0,0
2013,"DJI",0,0
2014,"DJI",0,0
2015,"DJI",1,0
2016,"DJI",0,0
2017,"DJI",0,0
2018,"DJI",0,0
2019,"DJI",6,0
2000,"DMA",0,0
2001,"DMA",0,0
2002,"DMA",0,0
2003,"DMA",0,0
2004,"DMA",0,0
2005,"DMA",0,0
2006,"DMA",0,0
2007,"DMA",0,0
2008,"DMA",0,0
2009,"DMA",0,0
2010,"DMA",0,0
2011,"DMA",0,0
2012,"DMA",0,0
2013,"DMA",0,0
2014,"DMA",0,0
2015,"DMA",0,0
2016,"DMA",0,0
2017,"DMA",0,0
2018,"DMA",0,0
2019,"DMA",0,0
2000,"DNK",0,0
2001,"DNK",0,0
2002,"DNK",0,0
2003,"DNK",0,0
2004,"DNK",0,0
2005,"DNK",0,0
2006,"DNK",0,0
2007,"DNK",0,0
2008,"DNK",0,0
2009,"DNK",0,0
2010,"DNK",0,0
2011,"DNK",0,0
2012,"DNK",0,0
2013,"DNK",0,0
2014,"DNK",0,0
2015,"DNK",0,0
2016,"DNK",0,0
2017,"DNK",0,0
2018,"DNK",0,0
2019,"DNK",0,0
2000,"DOM",0,0
2001,"DOM",0,0
2002,"DOM",0,0
2003,"DOM",0,0
2004,"DOM",0,0
2005,"DOM",0,0
2006,"DOM",0,0
2007,"DOM",0,0
2008,"DOM",0,0
2009,"DOM",0,0
2010,"DOM",0,0
2011,"DOM",0,0
2012,"DOM",0,0
2013,"DOM",0,0
2014,"DOM",0,0
2015,"DOM",0,0
2016,"DOM",0,0
2017,"DOM",0,0
2018,"DOM",0,0
2019,"DOM",0,0
2000,"DZA",1168,1
2001,"DZA",1193,1
2002,"DZA",674,1
2003,"DZA",1058,1
2004,"DZA",714,1
2005,"DZA",500,1
2006,"DZA",232,1
2007,"DZA",292,1
2008,"DZA",495,1
2009,"DZA",345,1
2010,"DZA",541,1
2011,"DZA",252,1
2012,"DZA",276,1
2013,"DZA",264,1
2014,"DZA",222,1
2015,"DZA",111,1
2016,"DZA",110,1
2017,"DZA",89,1
2018,"DZA",77,1
2019,"DZA",35,1
2000,"ECU",0,0
2001,"ECU",0,0
2002,"ECU",2,0
2003,"ECU",0,0
2004,"ECU",26,1
2005,"ECU",0,0
2006,"ECU",0,0
2007,"ECU",0,0
2008,"ECU",0,0
2009,"ECU",25,1
2010,"ECU",0,0
2011,"ECU",0,0
2012,"ECU",0,0
2013,"ECU",0,0
2014,"ECU",0,0
2015,"ECU",0,0
2016,"ECU",0,0
2017,"ECU",0,0
2018,"ECU",0,0
2019,"ECU",0,0
2000,"EGY",4,0
2001,"EGY",5,0
2002,"EGY",0,0
2003,"EGY",0,0
2004,"EGY",0,0
2005,"EGY",35,1
2006,"EGY",124,1
2007,"EGY",2,0
2008,"EGY",0,0
2009,"EGY",2,0
2010,"EGY",1,0
2011,"EGY",1,0
2012,"EGY",31,1
2013,"EGY",75,1
2014,"EGY",135,1
2015,"EGY",249,1
2016,"EGY",991,1
2017,"EGY",404,1
2018,"EGY",902,1
2019,"EGY",692,1
2000,"ERI",17203,1
2001,"ERI",1793,1
2002,"ERI",0,0
2003,"ERI",0,0
2004,"ERI",57,1
2005,"ERI",0,0
2006,"ERI",0,0
2007,"ERI",0,0
2008,"ERI",0,0
2009,"ERI",0,0
2010,"ERI",0,0
2011,"ERI",0,0
2012,"ERI",0,0
2013,"ERI",0,0
2014,"ERI",0,0
2015,"ERI",0,0
2016,"ERI",0,0
2017,"ERI",25,1
2018,"ERI",0,0
2019,"ERI",0,0
2000,"ESP",0,0
2001,"ESP",20,0
2002,"ESP",13,0
2003,"ESP",5,0
2004,"ESP",3,0
2005,"ESP",191,1
2006,"ESP",0,0
2007,"ESP",0,0
2008,"ESP",0,0
2009,"ESP",2,0
2010,"ESP",3,0
2011,"ESP",0,0
2012,"ESP",1,0
2013,"ESP",0,0
2014,"ESP",0,0
2015,"ESP",0,0
2016,"ESP",0,0
2017,"ESP",0,0
2018,"ESP",16,0
2019,"ESP",0,0
2000,"EST",0,0
2001,"EST",0,0
2002,"EST",0,0
2003,"EST",0,0
2004,"EST",0,0
2005,"EST",0,0
2006,"EST",0,0
2007,"EST",0,0
2008,"EST",0,0
2009,"EST",0,0
2010,"EST",0,0
2011,"EST",0,0
2012,"EST",0,0
2013,"EST",0,0
2014,"EST",0,0
2015,"EST",0,0
2016,"EST",0,0
2017,"EST",0,0
2018,"EST",0,0
2019,"EST",0,0
2000,"ETH",30786,1
2001,"ETH",48666,1
2002,"ETH",388,1
2003,"ETH",809,1
2004,"ETH",1093,1
2005,"ETH",475,1
2006,"ETH",290,1
2007,"ETH",430,1
2008,"ETH",500,1
2009,"ETH",311,1
2010,"ETH",590,1
2011,"ETH",152,1
2012,"ETH",66,1
2013,"ETH",385,1
2014,"ETH",88,1
2015,"ETH",39,1
2016,"ETH",307,1
2017,"ETH",529,1
2018,"ETH",475,1
2019,"ETH",687,1
2000,"FIN",0,0
2001,"FIN",0,0
2002,"FIN",0,0
2003,"FIN",0,0
2004,"FIN",0,0
2005,"FIN",0,0
2006,"FIN",0,0
2007,"FIN",0,0
2008,"FIN",0,0
2009,"FIN",0,0
2010,"FIN",0,0
2011,"FIN",0,0
2012,"FIN",0,0
2013,"FIN",0,0
2014,"FIN",0,0
2015,"FIN",0,0
2016,"FIN",0,0
2017,"FIN",0,0
2018,"FIN",0,0
2019,"FIN",0,0
2000,"FJI",0,0
2001,"FJI",0,0
2002,"FJI",0,0
2003,"FJI",0,0
2004,"FJI",0,0
2005,"FJI",0,0
2006,"FJI",0,0
2007,"FJI",0,0
2008,"FJI",0,0
2009,"FJI",0,0
2010,"FJI",0,0
2011,"FJI",0,0
2012,"FJI",0,0
2013,"FJI",0,0
2014,"FJI",0,0
2015,"FJI",0,0
2016,"FJI",0,0
2017,"FJI",0,0
2018,"FJI",0,0
2019,"FJI",0,0
2000,"FRA",0,0
2001,"FRA",0,0
2002,"FRA",0,0
2003,"FRA",0,0
2004,"FRA",0,0
2005,"FRA",0,0
